variety,points,points,points,points,points,points,points,points,price,price,price,price,price,price,price,price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
variety,,,,,,,,,,,,,,,,
Abouriou,3,87.66666667,3.055050463,85,86,87,89,91,3,35,34.64101615,15,15,15,45,75
Agiorgitiko,63,87.03174603,1.991662087,83,85,87,88,92,63,23.57142857,12.36764025,10,15,20,27,66
Aglianico,294,89.39795918,2.576103611,81,87,89,91,97,294,38.8877551,23.43572256,6,22.25,33.5,49,180
Aidani,1,82,,82,82,82,82,82,1,27,,27,27,27,27,27
Airen,3,81.66666667,1.527525232,80,81,82,82.5,83,3,9,1,8,8.5,9,9.5,10
Albana,19,89.26315789,2.305599591,84,88.5,89,90.5,94,19,23.47368421,11.9553262,12,15,20,30,50
Albanello,1,86,,86,86,86,86,86,1,20,,20,20,20,20,20
Albariño,474,87.7257384,2.373366131,80,86,88,89,94,474,21.29746835,7.529091846,10,17,20,24,75
Albarossa,2,88,0,88,88,88,88,88,2,40,0,40,40,40,40,40
Aleatico,4,85.75,2.5,83,84.5,85.5,86.75,89,4,39.75,12.78997003,25,32.5,39.5,46.75,55
Alfrocheiro,16,88.6875,2.441823089,85,86,89,90.25,93,16,26.5625,12.01648174,11,14,24.5,35.75,50
Alicante,5,87.4,1.140175425,86,87,87,88,89,5,23,7.681145748,10,24,24,27,30
Alicante Bouschet,48,89.45833333,2.782608093,83,88,90,91.25,93,48,31.29166667,29.40325524,7,15,20,36.75,150
Aligoté,29,86.51724138,1.478915859,84,86,87,87,91,29,19.65517241,5.965830454,13,15,19,23,36
Alsace white blend,49,90.34693878,3.369909868,84,88,90,93,96,49,29.57142857,20.29367718,10,14,23,35,98
Altesse,8,88.75,1.281739889,87,87.75,89,90,90,8,17.875,1.246423455,15,18,18,18.25,19
Alvarelhão,2,86.5,2.121320344,85,85.75,86.5,87.25,88,2,21,4.242640687,18,19.5,21,22.5,24
Alvarinho,116,88.52586207,2.301081813,82,87,89,90,93,116,19.34482759,8.868217259,9,14.75,17,22,75
Alvarinho-Chardonnay,4,86.75,1.258305739,85,86.5,87,87.25,88,4,11.25,2.62995564,9,9.75,10.5,12,15
Ansonica,2,86.5,0.707106781,86,86.25,86.5,86.75,87,2,26,5.656854249,22,24,26,28,30
Antão Vaz,17,87.70588235,1.490163828,85,87,87,89,90,17,19.76470588,6.427766056,11,13,20,24,30
Apple,2,89,0,89,89,89,89,89,2,29,5.656854249,25,27,29,31,33
Aragonez,6,88,2.966479395,85,85.25,88,90.75,91,6,23.5,11.32695899,10,13.5,25.5,33,35
Aragonês,7,89.14285714,1.214985793,88,88,89,90,91,7,29.57142857,21.72446503,14,16.5,20,35,70
Argaman,3,88.33333333,2.516611478,86,87,88,89.5,91,3,40.66666667,6.429100507,36,37,38,43,48
Arinto,66,87.10606061,2.2335125,83,85,87,88,92,66,15.86363636,8.260911411,7,11.25,14,17,55
Arneis,80,87.3125,1.695815774,84,86,87,88,92,80,20.7625,5.112020458,14,17,20,22,40
Asprinio,1,84,,84,84,84,84,84,1,15,,15,15,15,15,15
Assyrtico,43,88.04651163,2.32945414,84,86.5,88,89.5,92,43,23.53488372,7.519336461,12,19,23,29.5,40
Assyrtiko,18,89.22222222,1.864704851,86,89,89,90,93,18,22.88888889,6.79003499,12,18,22,28,36
Athiri,1,83,,83,83,83,83,83,1,18,,18,18,18,18,18
Austrian Red Blend,54,89.7962963,2.358282311,83,89,90,91,94,54,35.16666667,20.95795431,14,18.25,29,49,115
Austrian white blend,62,90.4516129,2.433896016,85,89,90.5,92,96,62,32.46774194,20.41192013,11,20,25,35,120
Auxerrois,23,89,1.381698559,86,88,90,90,91,23,22.34782609,4.528783658,15,19.5,22,24,32
Avesso,6,88,0.632455532,87,88,88,88,89,6,16.33333333,6.889605697,12,12.25,14,15.75,30
Azal,3,86,1,85,85.5,86,86.5,87,3,13.66666667,1.154700538,13,13,13,14,15
Babić,4,88.5,0.577350269,88,88,88.5,89,89,4,35,19.16594202,16,22.75,32,44.25,60
Babosa Negro,1,92,,92,92,92,92,92,1,45,,45,45,45,45,45
Baco Noir,16,86.125,2.418677324,83,84,86,88,91,16,25.75,5.360348247,18,21.5,25.5,28,36
Baga,27,90.2962963,1.85668884,86,89.5,90,92,93,27,36.25925926,20.43299103,9,20,30,43.5,80
Baga-Touriga Nacional,2,91,0,91,91,91,91,91,2,40,28.28427125,20,30,40,50,60
Barbera,617,87.75202593,2.117896825,80,87,88,89,93,617,26.09886548,11.64121158,10,18,25,30,100
Barbera-Nebbiolo,1,87,,87,87,87,87,87,1,30,,30,30,30,30,30
